text,question,answer_term,ep,sp
" nitrotyrosine immunoblot experiments indicated that TES stimulated peroxynitrite formation in microvessels, and functional studies demonstrated that TES-induced vasodilation was inhibited by scavenging peroxynitrite. As predicted, TES enhanced the production of both peroxynitrite precursors (i.e., superoxide and nitic oxide), and xanthine oxidase was identified as the likely source of TES-stimulated superoxide production. Functional and biochemical studies indicated that TES signaling involved activity of the phosphoinositide 3 (PI3) kinase-protein kinase B (Akt) cascade initiated by activation of the androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and functional approaches,",superoxide acts as PRODUCT-OF for what entity? ,xanthine oxidase,349.0,333.0
" H2O2 is a representative ROS and causes cell death through necrosis in human dental pulp (HDP) cells. H2O2-induced cytotoxicity and production of ROS were blocked in the presence of butein, and these effects were dose dependent. Butein also increased heme oxygenase-1 (HO-1) protein expression and HO activity. In addition, butein dependent HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs). Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also",butein acts as INDIRECT-REGULATOR for what entity? ,HO-1,346.0,342.0
" for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs). Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also reduced butein-induced HO-1 expression, and butein treatment led to increased JNK phosphorylation. These results indicate that butein may be used to prevent functional dental cell death and thus may be useful as a pulpal disease agent.",butein acts as ACTIVATOR for what entity? ,JNK,405.0,402.0
" found that butein possesses cytoprotective effects on hydrogen peroxide (H2O2)-induced dental cell death. H2O2 is a representative ROS and causes cell death through necrosis in human dental pulp (HDP) cells. H2O2-induced cytotoxicity and production of ROS were blocked in the presence of butein, and these effects were dose dependent. Butein also increased heme oxygenase-1 (HO-1) protein expression and HO activity. In addition, butein-dependent HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs).",Butein acts as INDIRECT-UPREGULATOR for what entity? ,heme oxygenase-1,374.0,358.0
" found that butein possesses cytoprotective effects on hydrogen peroxide (H2O2)-induced dental cell death. H2O2 is a representative ROS and causes cell death through necrosis in human dental pulp (HDP) cells. H2O2-induced cytotoxicity and production of ROS were blocked in the presence of butein, and these effects were dose dependent. Butein also increased heme oxygenase-1 (HO-1) protein expression and HO activity. In addition, butein-dependent HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs).",Butein acts as INDIRECT-UPREGULATOR for what entity? ,HO-1,452.0,448.0
" cells. H2O2-induced cytotoxicity and production of ROS were blocked in the presence of butein, and these effects were dose dependent. Butein also increased heme oxygenase-1 (HO-1) protein expression and HO activity. In addition, butein-dependent HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs). Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also reduced butein-induced HO-1 expression, and butein treatment led to increased JNK phosphorylation. These results indicate that butein",butein acts as INDIRECT-UPREGULATOR for what entity? ,antioxidant response elements,513.0,484.0
" cells. H2O2-induced cytotoxicity and production of ROS were blocked in the presence of butein, and these effects were dose dependent. Butein also increased heme oxygenase-1 (HO-1) protein expression and HO activity. In addition, butein-dependent HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs). Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also reduced butein-induced HO-1 expression, and butein treatment led to increased JNK phosphorylation. These results indicate that butein",butein acts as INDIRECT-UPREGULATOR for what entity? ,AREs,-1.0,-1.0
" cells. H2O2-induced cytotoxicity and production of ROS were blocked in the presence of butein, and these effects were dose dependent. Butein also increased heme oxygenase-1 (HO-1) protein expression and HO activity. In addition, butein-dependent HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs). Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also reduced butein-induced HO-1 expression, and butein treatment led to increased JNK phosphorylation. These results indicate that butein",butein acts as INDIRECT-UPREGULATOR for what entity? ,nuclear factor-E2-related factor 2,437.0,403.0
" cells. H2O2-induced cytotoxicity and production of ROS were blocked in the presence of butein, and these effects were dose dependent. Butein also increased heme oxygenase-1 (HO-1) protein expression and HO activity. In addition, butein-dependent HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs). Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also reduced butein-induced HO-1 expression, and butein treatment led to increased JNK phosphorylation. These results indicate that butein",butein acts as INDIRECT-UPREGULATOR for what entity? ,Nrf2,-1.0,-1.0
" HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs). Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also reduced butein induced HO-1 expression, and butein treatment led to increased JNK phosphorylation. These results indicate that butein may be used to prevent functional dental cell death and thus may be useful as a pulpal disease agent.",butein acts as INDIRECT-UPREGULATOR for what entity? ,HO-1,5.0,1.0
" found that butein possesses cytoprotective effects on hydrogen peroxide (H2O2)-induced dental cell death. H2O2 is a representative ROS and causes cell death through necrosis in human dental pulp (HDP) cells. H2O2-induced cytotoxicity and production of ROS were blocked in the presence of butein, and these effects were dose dependent. Butein also increased heme oxygenase-1 (HO-1) protein expression and HO activity. In addition, butein-dependent HO-1 expression was required for the inhibition of H2O2-induced cell death and ROS generation. Furthermore, butein treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements (AREs).",Butein acts as UPREGULATOR for what entity? ,HO,407.0,405.0
" the siRNA screening strategy, assay implementation and validation, data triaging, and example genes of interest. The genes of interest include known and novel genes encoding secreted enzymes, proteases, G-protein-coupled receptors, metabolic enzymes, ion transporters, and proteins of unknown function. Repression of farnesyltransferase (FNTA) by siRNA and the enzyme inhibitor manumycin A caused elevation of ApoA-I secretion from hepatocytes and from transgenic mice expressing hApoA-I and cholesterol ester transfer protein transgenes. In total, this work underscores the power of functional genetic assessment to identify new therapeutic targets.",manumycin A acts as INDIRECT-UPREGULATOR for what entity? ,ApoA-I,417.0,411.0
" the siRNA screening strategy, assay implementation and validation, data triaging, and example genes of interest. The genes of interest include known and novel genes encoding secreted enzymes, proteases, G-protein-coupled receptors, metabolic enzymes, ion transporters, and proteins of unknown function. Repression of farnesyltransferase (FNTA) by siRNA and the enzyme inhibitor manumycin A caused elevation of ApoA-I secretion from hepatocytes and from transgenic mice expressing hApoA-I and cholesterol ester transfer protein transgenes. In total, this work underscores the power of functional genetic assessment to identify new therapeutic targets.",manumycin A acts as INDIRECT-UPREGULATOR for what entity? ,hApoA-I,488.0,481.0
" the siRNA screening strategy, assay implementation and validation, data triaging, and example genes of interest. The genes of interest include known and novel genes encoding secreted enzymes, proteases, G-protein-coupled receptors, metabolic enzymes, ion transporters, and proteins of unknown function. Repression of farnesyltransferase (FNTA) by siRNA and the enzyme inhibitor manumycin A caused elevation of ApoA-I secretion from hepatocytes and from transgenic mice expressing hApoA-I and cholesterol ester transfer protein transgenes. In total, this work underscores the power of functional genetic assessment to identify new therapeutic targets.",manumycin A acts as INHIBITOR for what entity? ,farnesyltransferase,337.0,318.0
